PLAYER NAME,POS,AVG_RK,AVG_FAN PTS,AVG_PASS_TDS,AVG_PASS_YDS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,BEST_RK,FAN PTS,PASS_TDS,PASS_YDS,PPR_AVG_RK,PPR_AVG_FAN PTS,PPR_BEST_RK,PPR_FAN PTS,PPR_RK,PPR_STD.DEV_RK,PPR_TIERS,PPR_WORST_RK,REC,REC_TDS,REC_YDS,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,STD.DEV_RK,TEAM,TIERS,WORST_RK,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,DEPTH,STANDARD_ADP,PPR_ADP
SAN FRANCISCO 49ERS,DEF,226.1,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,84.0,0.0,0.0,226.3,4.9,170.0,84.0,227.0,31.0,11.0,355.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,30.2,SF,11.0,355.0,28,21,28,0,500.0,179
SAQUON BARKLEY,RB,2.5,20.1,0.0,0.0,2.1,0.1,17.4,21.6,0.8,125.3,1.0,322.3,0.0,0.0,9.3,22.2,4.0,355.3,9.0,4.1,2.0,22.0,33.0,2.0,278.0,2.0,345.0,13.0,2005.0,3.1,PHI,1.0,13.0,1,5,7,1,3.0,3
SAVION WILLIAMS,WR,304.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,0.0,0.0,0.0,310.1,0.0,236.0,0.0,351.0,28.9,14.0,368.0,0.0,0.0,0.0,348.0,0.0,0.0,0.0,26.5,GB,14.0,349.0,13,17,6,6,500.0,500
SEAN TUCKER,RB,272.3,3.5,0.0,0.0,0.5,0.1,6.4,2.9,0.1,18.1,188.0,59.7,0.0,0.0,288.2,4.0,230.0,68.7,279.0,24.2,12.0,336.0,9.0,1.0,109.0,270.0,50.0,2.0,308.0,28.3,TB,12.0,330.0,12,16,4,3,500.0,500
SEATTLE SEAHAWKS,DEF,201.9,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,136.0,0.0,0.0,201.9,8.0,170.0,136.0,201.0,16.8,11.0,278.0,0.0,0.0,0.0,199.0,0.0,0.0,0.0,16.4,SEA,11.0,278.0,30,31,20,0,500.0,133
SHEDEUR SANDERS,QB,319.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0,313.9,0.0,229.0,0.0,316.0,29.4,13.0,383.0,0.0,0.0,0.0,320.0,0.0,0.0,0.0,27.3,CLE,13.0,386.0,15,15,15,3,500.0,500
SINCERE MCCORMICK,RB,285.5,5.3,0.0,0.0,1.5,0.0,7.3,9.8,0.0,45.8,174.0,21.2,0.0,0.0,290.4,6.8,176.0,27.2,298.0,34.3,13.0,369.0,6.0,0.0,29.0,294.0,39.0,0.0,183.0,42.0,LV,13.0,393.0,29,32,11,3,500.0,500
SIONE VAKI,RB,373.0,0.4,0.0,0.0,0.3,0.0,3.1,0.5,0.0,1.2,353.0,5.1,0.0,0.0,379.0,0.7,365.0,8.1,507.0,14.0,16.0,393.0,3.0,0.0,37.0,499.0,6.0,0.0,14.0,20.0,DET,16.0,393.0,6,11,5,4,500.0,500
SPENCER RATTLER,QB,334.1,10.3,0.6,188.1,0.0,0.0,0.0,2.6,0.0,20.9,260.0,72.3,4.0,1317.0,336.0,10.3,278.0,72.3,361.0,26.4,14.0,389.0,0.0,0.0,0.0,358.0,18.0,0.0,146.0,25.3,NO,14.0,387.0,2,1,18,2,500.0,500
STEFON DIGGS,WR,109.6,9.4,0.0,0.0,5.9,0.4,62.0,0.4,0.1,1.0,61.0,74.9,0.0,0.0,84.5,15.2,41.0,121.9,83.0,15.8,7.0,148.0,47.0,3.0,496.0,110.0,3.0,1.0,8.0,15.3,NE,8.0,138.0,32,32,14,1,93.0,85
