PLAYER NAME,POS,AVG_RK,AVG_FAN PTS,AVG_PASS_TDS,AVG_PASS_YDS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,BEST_RK,FAN PTS,PASS_TDS,PASS_YDS,PPR_AVG_RK,PPR_AVG_FAN PTS,PPR_BEST_RK,PPR_FAN PTS,PPR_RK,PPR_STD.DEV_RK,PPR_TIERS,PPR_WORST_RK,REC,REC_TDS,REC_YDS,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,STD.DEV_RK,TEAM,TIERS,WORST_RK,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,DEPTH
David Johnson,RB,97.5,12.2,0.0,0.0,2.8,0.2,26.2,12.3,0.5,57.6,50.0,146.5,0.0,0.0,122.6,15.0,66.0,179.5,122.0,30.7,7.0,256.0,33.0,2.0,314.0,92.0,147.0,6.0,691.0,19.2,HOU,8.0,149.0,17,24,4,1
David Montgomery,RB,34.8,14.1,0.0,0.0,3.6,0.1,29.2,16.5,0.5,71.3,9.0,210.8,0.0,0.0,37.5,17.7,20.0,264.8,36.0,9.0,4.0,71.0,54.0,2.0,438.0,33.0,247.0,8.0,1070.0,8.7,CHI,4.0,76.0,8,13,7,1
David Moore,WR,344.1,5.2,0.0,0.0,2.2,0.4,26.1,0.5,0.0,3.8,231.0,83.8,0.0,0.0,346.5,7.4,234.0,118.8,449.0,53.0,13.0,408.0,35.0,6.0,417.0,424.0,8.0,0.0,61.0,45.5,LV,15.0,395.0,31,32,17,4
David Njoku,TE,314.6,2.6,0.0,0.0,1.5,0.2,16.4,0.0,0.0,0.0,80.0,33.3,0.0,0.0,324.9,4.0,251.0,52.3,343.0,31.6,11.0,383.0,19.0,2.0,213.0,349.0,0.0,0.0,0.0,38.7,CLE,14.0,389.0,22,17,21,2
Davis Mills,QB,350.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,0.0,0.0,0.0,351.3,0.0,237.0,0.0,383.0,31.2,12.0,397.0,0.0,0.0,0.0,411.0,0.0,0.0,0.0,30.1,HOU,15.0,391.0,5,6,8,3
Dawson Knox,TE,228.7,3.6,0.0,0.0,2.0,0.3,24.0,0.0,0.0,0.0,135.0,42.8,0.0,0.0,234.8,5.6,136.0,66.8,237.0,34.4,9.0,319.0,24.0,3.0,288.0,225.0,0.0,0.0,0.0,33.7,BUF,11.0,357.0,18,18,14,1
Dazz Newsome,WR,333.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,0.0,0.0,0.0,407.8,0.0,286.0,0.0,483.0,123.2,13.0,653.0,0.0,0.0,0.0,421.0,0.0,0.0,0.0,31.6,CHI,15.0,380.0,12,19,9,7
DeAndre Hopkins,WR,18.7,10.8,0.0,0.0,7.2,0.4,87.9,0.1,0.0,0.1,10.0,172.8,0.0,0.0,12.6,18.0,5.0,287.8,12.0,2.6,2.0,24.0,115.0,6.0,1407.0,17.0,1.0,0.0,1.0,4.3,ARI,3.0,48.0,11,13,15,1
DeSean Jackson,WR,234.4,6.2,0.0,0.0,2.8,0.2,47.2,0.2,0.0,2.4,124.0,30.8,0.0,0.0,251.5,9.0,158.0,44.8,257.0,30.3,10.0,377.0,14.0,1.0,236.0,240.0,1.0,0.0,12.0,32.0,LAR,12.0,369.0,3,5,4,4
DeVante Parker,WR,108.1,7.4,0.0,0.0,4.5,0.3,56.6,0.0,0.0,0.0,48.0,103.3,0.0,0.0,131.1,11.9,79.0,166.3,125.0,27.7,7.0,205.0,63.0,4.0,793.0,109.0,0.0,0.0,0.0,18.9,MIA,8.0,176.0,20,4,29,1
DeVonta Smith,WR,93.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,92.9,0.0,33.0,0.0,92.0,22.5,6.0,196.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,29.3,PHI,7.0,240.0,17,3,32,1
Dede Westbrook,WR,322.0,-0.8,0.0,0.0,0.5,0.0,2.0,0.0,0.0,0.0,229.0,-1.6,0.0,0.0,328.0,-0.3,263.0,-0.6,394.0,38.3,12.0,395.0,1.0,0.0,4.0,373.0,0.0,0.0,0.0,33.9,MIN,14.0,390.0,18,6,28,4
DeeJay Dallas,RB,312.6,3.3,0.0,0.0,1.4,0.1,9.3,2.8,0.2,9.0,245.0,39.9,0.0,0.0,298.9,4.7,187.0,56.9,304.0,32.0,11.0,365.0,17.0,1.0,111.0,320.0,34.0,2.0,108.0,25.4,SEA,13.0,386.0,24,30,9,3
Deebo Samuel,WR,80.4,6.8,0.0,0.0,4.7,0.1,55.9,1.1,0.0,3.7,50.0,47.7,0.0,0.0,82.4,11.5,38.0,80.7,78.0,18.2,6.0,160.0,33.0,1.0,391.0,75.0,8.0,0.0,26.0,15.1,SF,7.0,160.0,1,9,2,1
