PLAYER NAME,AVG_FAN PTS,AVG_REC,AVG_REC_TDS,AVG_REC_TGT,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,PPR_RK,PPR_TIERS,REC,REC_TDS,REC_TGT,REC_YDS,RUSH_ATT,RUSH_TDS,RUSH_YDS,TEAM,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,DEPTH
Robert Woods,9.7,5.6,0.4,8.1,58.5,1.5,0.1,9.7,155.1,17.6,11.0,17.0,3.1,3.0,32.0,15.3,245.1,14.2,8.0,13.0,3.2,3.0,24.0,12.0,3.0,90.0,6.0,129.0,936.0,24.0,2.0,155.0,LAR,3,5,4,12.5,25.0,56.3,1
Rondale Moore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5,47.0,73.0,13.9,7.0,112.0,0.0,0.0,64.3,41.0,65.0,12.4,7.0,114.0,69.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARI,11,13,15,0.0,0.0,0.0,4
Russell Gage,6.8,4.5,0.3,6.8,49.1,0.1,0.0,0.6,109.06,65.3,36.0,63.0,10.8,7.0,95.0,11.3,181.06,57.0,31.0,57.0,9.5,7.0,86.0,58.0,7.0,72.0,4.0,109.0,786.0,2.0,0.0,9.0,ATL,8,12,10,0.0,43.8,37.5,2
Sage Surratt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.4,94.0,168.0,19.9,11.0,190.0,0.0,0.0,185.0,144.0,180.0,59.0,11.0,358.0,166.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,23,30,6,0.0,0.0,0.0,7
Sammy Watkins,5.1,3.7,0.2,5.5,42.1,0.1,0.0,0.3,51.4,80.7,39.0,79.0,9.3,8.0,114.0,8.8,88.4,80.6,43.0,81.0,9.4,8.0,114.0,79.0,8.0,37.0,2.0,55.0,421.0,1.0,0.0,3.0,BAL,15,18,16,0.0,0.0,0.0,3
Scotty Miller,4.3,2.1,0.2,3.3,31.3,0.2,0.0,0.9,69.5,103.2,75.0,105.0,9.0,9.0,131.0,6.4,102.5,109.2,83.0,106.0,9.2,9.0,135.0,105.0,9.0,33.0,3.0,53.0,501.0,3.0,0.0,14.0,TB,19,15,21,0.0,68.8,12.5,0
Seth Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.6,127.0,164.0,11.3,11.0,180.0,0.0,0.0,186.1,148.0,179.0,46.1,11.0,320.0,160.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DEN,21,26,8,0.0,0.0,0.0,6
Shi Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.5,108.0,156.0,24.4,11.0,211.0,0.0,0.0,146.8,111.0,156.0,22.5,11.0,217.0,152.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAR,5,7,7,0.0,0.0,0.0,7
Simi Fehoko,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.2,125.0,153.0,11.7,11.0,175.0,0.0,0.0,159.7,132.0,155.0,39.0,11.0,323.0,151.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,27,21,27,0.0,0.0,0.0,7
Stanley Morgan Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,173.0,231.0,21.0,13.0,215.0,0.0,0.0,244.8,212.0,254.0,48.8,13.0,342.0,230.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CIN,24,20,22,0.0,0.0,0.0,0
