PLAYER NAME,POS,AVG_RK,AVG_FAN PTS,AVG_PASS_TDS,AVG_PASS_YDS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,BEST_RK,FAN PTS,PASS_TDS,PASS_YDS,PPR_AVG_RK,PPR_AVG_FAN PTS,PPR_BEST_RK,PPR_FAN PTS,PPR_RK,PPR_STD.DEV_RK,PPR_TIERS,PPR_WORST_RK,REC,REC_TDS,REC_YDS,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,STD.DEV_RK,TEAM,TIERS,WORST_RK,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,DEPTH,STANDARD_ADP,PPR_ADP
JORDAN LOVE,QB,67.8,19.4,1.9,244.6,0.0,0.0,0.0,2.9,0.2,14.5,51.0,330.1,32.0,4159.0,68.3,19.4,51.0,330.1,70.0,9.4,5.0,103.0,0.0,0.0,0.0,67.0,50.0,4.0,247.0,9.4,GB,6.0,103.0,6,1,22,1,73.5,72
JORDAN MASON,RB,236.1,2.6,0.0,0.0,0.2,0.0,1.9,2.5,0.2,12.9,132.0,41.7,0.0,0.0,254.9,2.8,151.0,44.7,252.0,50.2,10.0,369.0,3.0,0.0,31.0,237.0,40.0,3.0,206.0,46.7,SF,10.0,327.0,10,12,5,2,500.0,500
JORDAN WHITTINGTON,WR,293.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,286.3,0.0,170.0,0.0,340.0,55.4,12.0,375.0,0.0,0.0,0.0,343.0,0.0,0.0,0.0,53.5,LAR,12.0,375.0,11,22,6,4,500.0,500
JOSH ALLEN,QB,21.9,24.2,1.7,253.3,0.0,0.0,0.0,6.5,0.9,30.8,17.0,410.6,29.0,4306.0,23.1,24.2,18.0,410.6,19.0,6.6,3.0,49.0,0.0,0.0,0.0,20.0,111.0,15.0,524.0,6.3,BUF,3.0,46.0,16,12,19,1,23.0,23
JOSH DOWNS,WR,161.9,5.2,0.0,0.0,4.0,0.1,45.4,0.0,0.0,0.0,89.0,89.1,0.0,0.0,144.5,9.2,89.0,157.1,139.0,24.6,8.0,223.0,68.0,2.0,771.0,154.0,0.0,0.0,0.0,20.1,IND,8.0,243.0,22,19,26,2,176.0,500
JOSH JACOBS,RB,41.0,11.1,0.0,0.0,2.8,0.0,22.8,17.9,0.5,61.9,18.0,144.1,0.0,0.0,47.6,13.9,17.0,181.1,46.0,9.5,5.0,74.0,37.0,0.0,296.0,40.0,233.0,6.0,805.0,9.9,GB,4.0,69.0,29,29,15,1,23.0,39
JOSH JOHNSON,QB,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.0,0.0,0.0,0.0,361.8,0.0,313.0,0.0,506.0,36.5,14.0,397.0,0.0,0.0,0.0,493.0,0.0,0.0,0.0,41.0,BAL,14.0,397.0,8,6,17,2,500.0,500
JOSH OLIVER,TE,342.9,1.8,0.0,0.0,1.3,0.1,12.5,0.0,0.0,0.0,291.0,31.3,0.0,0.0,345.8,3.1,280.0,53.3,375.0,26.0,12.0,389.0,22.0,2.0,213.0,378.0,0.0,0.0,0.0,28.9,MIN,13.0,391.0,3,3,6,2,500.0,500
JOSH PALMER,WR,135.0,6.2,0.0,0.0,3.5,0.2,52.8,0.1,0.0,0.5,91.0,68.7,0.0,0.0,125.7,9.7,75.0,106.7,124.0,20.6,7.0,182.0,38.0,2.0,581.0,133.0,1.0,0.0,6.0,18.3,LAC,8.0,194.0,30,25,25,1,133.5,180
JOSH REYNOLDS,WR,267.5,5.2,0.0,0.0,2.4,0.3,35.8,0.0,0.0,0.0,169.0,88.8,0.0,0.0,267.7,7.6,173.0,128.8,274.0,26.5,11.0,384.0,40.0,5.0,608.0,274.0,0.0,0.0,0.0,25.5,DEN,11.0,349.0,19,28,8,3,500.0,500
