,AVG_FAN PTS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_TGT,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,REC,REC_TDS,REC_YDS,RUSH_ATT,RUSH_TDS,RUSH_YDS,TEAM,TGT,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,PPR_BOOM,PPR_BUST,PPR_STARTER,DEPTH,STANDARD_ADP,PPR_ADP,20_YD_ATT,20_YD_%RUSH,10_YD_ATT,10_YD_%RUSH,5_YD_ATT,5_YD_%RUSH,20_YD_TGT,20_YD_%TGT,10_YD_TGT,10_YD_%TGT
COOPER KUPP,8.8,4.9,0.4,61.4,0.1,0.0,-0.3,7.9,105.4,19.2,10.0,20.0,4.7,3.0,32.0,13.7,164.4,16.8,9,16,4.8,3,30,59.0,5.0,737.0,1.0,0.0,-3.0,LAR,95.0,11,22,6,17,25,42,25,42,42,2,35.5,44,1,1.2,0,0.0,0,0.0,18,24.7,8,19.5
CORNELIUS JOHNSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.4,148.0,182.0,20.7,11.0,210.0,0.0,0.0,187.5,149,182,21.3,11,211,0.0,0.0,0.0,0.0,0.0,0.0,LAC,0.0,30,25,25,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
COURTLAND SUTTON,8.2,3.7,0.6,48.3,0.0,0.0,0.0,5.6,131.2,43.6,31.0,43.0,4.3,5.0,57.0,11.9,190.2,43.1,33,41,4.5,5,56,59.0,10.0,772.0,0.0,0.0,0.0,DEN,90.0,19,28,8,0,13,40,0,13,47,1,110.0,110,0,0.0,0,0.0,0,0.0,17,26.2,7,20.0
CURTIS SAMUEL,6.0,3.9,0.3,38.3,0.4,0.1,2.4,5.7,95.2,56.1,44.0,58.0,5.7,6.0,73.0,9.8,157.2,55.0,40,54,6.4,6,74,62.0,4.0,613.0,7.0,1.0,39.0,BUF,91.0,14,15,15,0,47,33,0,47,27,2,124.0,151,4,7.1,1,3.8,1,6.7,15,23.4,7,20.0
DAMIERE BYRD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,275.3,269.0,314.0,4.9,14.0,281.0,0.0,0.0,271.0,267,312,3.7,14,276,0.0,0.0,0.0,0.0,0.0,0.0,FA,2.0,33,33,33,0,100,0,0,100,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
DANIEL ARIAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.3,231.0,293.0,8.3,13.0,249.0,0.0,0.0,233.0,221,284,8.5,13,240,0.0,0.0,0.0,0.0,0.0,0.0,FA,0.0,33,33,33,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
DANNY GRAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.8,177.0,251.0,33.1,13.0,277.0,0.0,0.0,243.7,186,261,32.1,13,287,0.0,0.0,0.0,0.0,0.0,0.0,SF,0.0,2,3,9,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
DANTE PETTIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,128.0,216.0,35.8,12.0,234.0,0.0,0.0,185.0,127,216,34.7,12,233,0.0,0.0,0.0,0.0,0.0,0.0,CHI,0.0,9,2,27,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
DAREKE YOUNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.4,179.0,241.0,40.8,12.0,286.0,0.0,0.0,214.4,172,241,38.5,12,281,0.0,0.0,0.0,0.0,0.0,0.0,SEA,0.0,3,7,4,0,100,0,0,100,0,6,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
DARIUS SLAYTON,5.9,2.9,0.2,45.3,0.0,0.0,0.0,4.6,101.0,81.0,64.0,77.0,7.7,7.0,103.0,8.9,151.0,83.5,66,78,8.8,7,134,50.0,4.0,770.0,0.0,0.0,0.0,NYG,79.0,4,23,1,0,56,19,0,56,19,3,500.0,500,0,0.0,0,0.0,0,0.0,4,12.1,0,0.0
DARNELL MOONEY,3.2,2.1,0.1,27.6,0.1,0.0,0.3,4.1,47.9,66.2,48.0,64.0,7.5,7.0,92.0,5.3,78.9,67.9,51,67,7.8,7,94,31.0,1.0,414.0,2.0,0.0,5.0,ATL,61.0,20,8,29,0,57,7,0,71,7,2,173.0,146,1,1.3,0,0.0,0,0.0,7,12.5,5,19.2
